incident_type,feature,feature_readable,coefficient,direction,abs_coefficient
Altercation,vital_weight_last_90d,Vital (weight last 90d),0.15356777809699934,increases_risk,0.15356777809699934
Altercation,vital_weight_last_30d,Vital (weight last 30d),0.14922367896720637,increases_risk,0.14922367896720637
Altercation,days_since_admission,Days since admission,-0.1485953655840862,decreases_risk,0.1485953655840862
Altercation,age_years,Age at index (years),-0.13216635812444122,decreases_risk,0.13216635812444122
Altercation,vital_pulse_mean_90d,Vital (pulse mean 90d),0.13092425171439478,increases_risk,0.13092425171439478
Altercation,vital_o2_sats_min_30d,Vital (o2 sats min 30d),0.12071182399120009,increases_risk,0.12071182399120009
Altercation,vital_o2_sats_mean_30d,Vital (o2 sats mean 30d),0.11758127117074688,increases_risk,0.11758127117074688
Altercation,vital_temperature_max_90d,Vital (temperature max 90d),0.11543825867675535,increases_risk,0.11543825867675535
Altercation,vital_pulse_mean_30d,Vital (pulse mean 30d),0.11374336562364527,increases_risk,0.11374336562364527
Altercation,vital_bp_systolic_diastolic_mean_90d,Vital (bp systolic diastolic mean 90d),0.11195424053656904,increases_risk,0.11195424053656904
Altercation,vital_temperature_max_30d,Vital (temperature max 30d),0.10816788606327657,increases_risk,0.10816788606327657
Altercation,vital_weight_change_30d,Vital (weight change 30d),0.1051204605876871,increases_risk,0.1051204605876871
Altercation,vital_bp_systolic_count_30d,Vital (bp systolic count 30d),-0.10218126395744596,decreases_risk,0.10218126395744596
Altercation,vital_o2_sats_min_90d,Vital (o2 sats min 90d),0.1000095457674119,increases_risk,0.1000095457674119
Altercation,vital_o2_sats_mean_90d,Vital (o2 sats mean 90d),0.09892822946697047,increases_risk,0.09892822946697047
Altercation,vital_respiration_mean_90d,Vital (respiration mean 90d),0.09313995802500075,increases_risk,0.09313995802500075
Altercation,vital_blood_sugar_count_30d,Vital (blood sugar count 30d),-0.09182397387459039,decreases_risk,0.09182397387459039
Altercation,vital_bp_systolic_mean_90d,Vital (bp systolic mean 90d),0.09140553877406228,increases_risk,0.09140553877406228
Altercation,needs_active_count,Active care needs,0.08899634531303785,increases_risk,0.08899634531303785
Altercation,vital_bp_systolic_count_90d,Vital (bp systolic count 90d),-0.08240775367666017,decreases_risk,0.08240775367666017
Altercation,vital_o2_sats_count_90d,Vital (o2 sats count 90d),0.08178835752963773,increases_risk,0.08178835752963773
Altercation,tag_hypertension_30d,Document tag (hypertension 30d),-0.08133831552800512,decreases_risk,0.08133831552800512
Altercation,tag_hypertension_90d,Document tag (hypertension 90d),-0.08133831552800512,decreases_risk,0.08133831552800512
Altercation,vital_temperature_count_90d,Vital (temperature count 90d),0.08094473066489555,increases_risk,0.08094473066489555
Altercation,vital_pain_level_count_90d,Vital (pain level count 90d),-0.07818337066517603,decreases_risk,0.07818337066517603
Altercation,vital_bp_systolic_diastolic_mean_30d,Vital (bp systolic diastolic mean 30d),0.07697556933372313,increases_risk,0.07697556933372313
Altercation,vital_respiration_mean_30d,Vital (respiration mean 30d),0.07498474948660709,increases_risk,0.07498474948660709
Altercation,vital_pain_level_mean_30d,Vital (pain level mean 30d),0.06867548509846488,increases_risk,0.06867548509846488
Altercation,vital_bp_systolic_mean_30d,Vital (bp systolic mean 30d),0.06848409137938466,increases_risk,0.06848409137938466
Altercation,vital_o2_sats_count_30d,Vital (o2 sats count 30d),0.0683903595072973,increases_risk,0.0683903595072973
Altercation,vital_weight_change_90d,Vital (weight change 90d),0.06618662874857983,increases_risk,0.06618662874857983
Altercation,vital_bp_systolic_max_90d,Vital (bp systolic max 90d),0.06463784800412899,increases_risk,0.06463784800412899
